idx,title,author,url,updated,recMod,header,version,format,topics,style,lang,notes,urlOtherTitle,urlOther
211,Simple Stylization Techniques | GDC 2024, Chris Murphy,https://youtu.be/exMzwH7EJUY,2024-04-29,2025-08-31,tutorial,UE5,video,tutorial,stylized,blueprint,colorized 'fog of war',article,https://dev.epicgames.com/community/learning/talks-and-demos/XayP/fortnite-simple-stylization-techniques-in-unreal-engine-5
212,stylized comic book shader,Chris Folea Makes Things,https://youtu.be/Ctx1TP0XDUM,2024-07-01,2025-08-31,tutorial,UE5,video,pre-process,"comic,stylized",blueprint,WITHOUT post processing,,
213,Stylized Grass,FastTrack Tutorials,https://youtu.be/x3k_zeQc958,2024-07-01,2025-08-31,,UE5,video,"Blender,tutorial",stylized,blueprint,2 parts,part 2,https://youtu.be/7yhTc6GNEd8
214,Low Poly open world w/free assets, Dutchmangames,https://youtu.be/cjQKbGsWT-M,2024-11-07,2025-08-31,tutorial,UE5,video,"demo,tutorial",stylized,environment,place prefabs for beginners,part 2,https://youtu.be/I-xgz0GNanw
215,Interactive GRASS & FOLIAGE,GraphicLine Games,https://youtu.be/Lf0LgD_GJ58,2025-06-23,2025-08-31,,UE5,video,tutorial,stylized,blueprint,grass reacts dynamically when your character walks through,,
216,how grass works in Ghost of Tsushima,Stylized Station,https://youtu.be/G8HH_pMKOhk,2022-08-15,2025-08-31,analysis,UE5,video,article,,analysis,,source of talk: Eric Wohllaib,https://youtu.be/Ibe1JBF5i5Y
217,Ghibli-Inspired Stylized meadow,GraphicLine Games,https://youtu.be/2VRZrm3eCEs,2025-08-04,2025-08-31,course,UE5,"video,store",asset,"stylized,Ghibli",blueprint,FULL COURSE 2.20 hours,course files; can donate $0,https://graphicline.gumroad.com/l/opjhs
218,Modular Anime Character,yyyrjis,https://www.fab.com/sellers/yyyrjis,2025-07-17,2025-08-31,,UE5.3+,store,"commercial,character","stylized,anime",asset,,,
219,Color Correcting Stylized Cartoony Graphics,The Bradshacalypse,https://youtu.be/BKfIgBUYfSg,2023-12-07,2025-08-31,,UE5,video,post-process,"stylized,comic",asset,"turn down ""tone curve amount"" in post",,
220,Making stylized animations….in #Blueprints,rowdydev,https://www.youtube.com/shorts/SYI54wk5K0U?feature=share,2025-01-13,2025-08-31,,UE5,video,animation,stylized,blueprint,timeline node for easy animations,,
